,question,response
105,快给我倒杯威士忌啊！,遵旨
106,快给我倒杯威士忌吧！,遵旨
107,快给我倒杯威士忌呀！,遵旨
108,讲个绕口令,遵旨
109,给我说个绕口令,遵旨
110,给我讲个绕口令,遵旨
111,我想听一个故事,遵旨
112,给我说个故事,遵旨
113,赶紧给我讲个故事,遵旨
114,来个故事,遵旨
115,快给我讲故事,遵旨
116,我想听故事,遵旨
117,讲个故事听听,遵旨
118,给我唱个京剧,遵旨
119,给我来段脱口秀,遵旨
120,我想听脱口秀,遵旨
121,来个脱口秀,遵旨
122,讲个脱口秀,遵旨
123,我想听一段脱口秀,遵旨
124,给我说个脱口秀,遵旨
125,讲个绕口令！,遵旨
126,给我说个绕口令！,遵旨
127,给我讲个绕口令！,遵旨
128,我想听一个故事！,遵旨
129,给我说个故事！,遵旨
130,赶紧给我讲个故事！,遵旨
131,来个故事！,遵旨
132,快给我讲故事！,遵旨
133,我想听故事！,遵旨
134,讲个故事听听！,遵旨
135,给我唱个京剧！,遵旨
136,给我来段脱口秀！,遵旨
137,我想听脱口秀！,遵旨
138,来个脱口秀！,遵旨
139,讲个脱口秀！,遵旨
140,我想听一段脱口秀！,遵旨
141,给我说个脱口秀！,遵旨
142,给我来段相声！,遵旨
143,我想听相声！,遵旨
144,来个相声！,遵旨
145,讲个相声！,遵旨
146,我想听一段相声！,遵旨
147,给我说个相声！,遵旨
148,给我来段相声,遵旨
149,我想听相声,遵旨
150,来个相声,遵旨
151,讲个相声,遵旨
152,我想听一段相声,遵旨
153,给我说个相声,遵旨
154,给我来段评书,遵旨
155,我想听评书,遵旨
156,来个评书,遵旨
157,讲段评书,遵旨
158,我想听一段评书,遵旨
159,给我说段评书,遵旨
160,给我来段评书！,遵旨
161,我想听评书！,遵旨
162,来个评书！,遵旨
163,讲段评书！,遵旨
164,我想听一段评书！,遵旨
165,给我说段评书！,遵旨
166,给我唱首歌,遵旨
167,给我唱首征服,遵旨
168,给我唱首fade to black,遵旨
169,给我唱首dreaming my dream,遵旨
170,给我唱首dying in the sun,遵旨
171,给我唱首far away from home,遵旨
172,给我唱首麻雀,遵旨
173,给我唱首knocking on heaven’s door,遵旨
174,给我唱首imagine,遵旨
175,给我唱首yesterday,遵旨
176,给我唱首it’s my life,遵旨
177,给我唱首delicious way,遵旨
178,给我唱首when you believe,遵旨
179,给我唱首never say goodbye,遵旨
180,给我唱首gone away,遵旨
181,给我唱首god is a girl,遵旨
182,给我唱首中国话,遵旨
183,给我唱首fade to black！,遵旨
184,给我唱首dreaming my dream！,遵旨
185,给我唱首dying in the sun！,遵旨
186,给我唱首far away from home！,遵旨
187,给我唱首麻雀！,遵旨
188,给我唱首knocking on heaven’s door！,遵旨
189,给我唱首imagine！,遵旨
190,给我唱首yesterday！,遵旨
191,给我唱首it’s my life！,遵旨
192,给我唱首delicious way！,遵旨
193,给我唱首when you believe！,遵旨
194,给我唱首never say goodbye！,遵旨
195,给我唱首gone away！,遵旨
196,给我唱首god is a girl！,遵旨
197,给我唱首中国话！,遵旨
198,给我念个故事,遵旨
199,给我即兴一段脱口秀,遵旨
200,即兴唱首歌吧,遵旨
201,即兴讲个笑话吧,遵旨
202,即兴讲个笑话,遵旨
203,给我念个故事！,遵旨
204,给我即兴一段脱口秀！,遵旨
205,即兴唱首歌吧！,遵旨
206,即兴讲个笑话吧！,遵旨
207,即兴讲个笑话！,遵旨
208,来段freestyle,遵旨
209,来段freestyle！,遵旨
210,来个劈叉,遵旨
211,来个劈叉！,遵旨
212,来劈个叉,遵旨
213,来劈个叉！,遵旨
214,来搞点钱,遵旨
215,来搞点钱！,遵旨
216,赶紧去吃饭,遵旨
217,赶紧去吃饭！,遵旨
218,去吃饭了,遵旨
219,去吃饭了！,遵旨
220,给我钱,遵旨
221,给我人民币,遵旨
222,给我美金,遵旨
223,给我英镑,遵旨
224,给我唱歌,遵旨
225,给我唱情歌,遵旨
226,给我说韩语,遵旨
227,给我播放韩剧,遵旨
228,给我播放电视剧,遵旨
229,给我看电影,遵旨
230,给我吃饭,遵旨
231,给我来根烟,遵旨
232,让我静静,遵旨
233,给我闭嘴,遵旨
234,跟我说话,遵旨
235,跟我聊天,遵旨
236,给我亲亲,遵旨
237,给我吃一口,遵旨
238,给我喝一口,遵旨
239,给我倒杯水,遵旨
240,给我倒杯热水,遵旨
241,给我抱抱,遵旨
242,给我买个蛋糕,遵旨
243,给我倒杯可乐,遵旨
244,给我倒杯雪碧,遵旨
245,给我倒杯芬达,遵旨
246,给我买瓶气泡水,遵旨
247,给我买杯咖啡,遵旨
248,给我介绍你的家人,遵旨
249,给我一百块,遵旨
250,给我一块钱,遵旨
251,赶紧走,遵旨
252,一起去吃烧烤,遵旨
253,一起去看电影,遵旨
254,给我把窗帘拉开,遵旨
255,给我钱！,遵旨
256,给我人民币！,遵旨
257,给我美金！,遵旨
258,给我英镑！,遵旨
259,给我唱歌！,遵旨
260,给我唱情歌！,遵旨
261,给我说韩语！,遵旨
262,给我播放韩剧！,遵旨
263,给我播放电视剧！,遵旨
264,给我看电影！,遵旨
265,给我吃饭！,遵旨
266,给我来根烟！,遵旨
267,让我静静！,遵旨
268,给我闭嘴！,遵旨
269,跟我说话！,遵旨
270,跟我聊天！,遵旨
271,给我亲亲！,遵旨
272,给我吃一口！,遵旨
273,给我喝一口！,遵旨
274,给我倒杯水！,遵旨
275,给我倒杯热水！,遵旨
276,给我抱抱！,遵旨
277,给我买个蛋糕！,遵旨
278,给我倒杯可乐！,遵旨
279,给我倒杯雪碧！,遵旨
280,给我倒杯芬达！,遵旨
281,给我买瓶气泡水！,遵旨
282,给我买杯咖啡！,遵旨
283,给我介绍你的家人！,遵旨
284,给我一百块！,遵旨
285,给我一块钱！,遵旨
286,赶紧走！,遵旨
287,一起去吃烧烤！,遵旨
288,一起去看电影！,遵旨
289,给我把窗帘拉开！,遵旨
290,给我看欧巴,遵旨
291,给我倒杯凉水,遵旨
292,给我来杯卡布奇诺,遵旨
293,给阿姨倒杯卡布奇诺,遵旨
294,给我来副好牌,遵旨
295,给我车钥匙,遵旨
296,给我你的爱,遵旨
297,给我你的杯子,遵旨
298,给我看欧巴！,遵旨
299,给我倒杯凉水！,遵旨
300,给我来杯卡布奇诺！,遵旨
301,给阿姨倒杯卡布奇诺！,遵旨
302,给我来副好牌！,遵旨
303,给我车钥匙！,遵旨
304,给我你的爱！,遵旨
305,来个曲子,遵旨
306,来个曲子！,遵旨
307,不如来个曲子,遵旨
308,来个曲子呗,遵旨
309,来个曲子嘛,遵旨
310,来个曲子呀,遵旨
311,快点来个曲子,遵旨
312,来个曲儿嘛！,遵旨
313,快点来个曲子！,遵旨
314,赶紧来个曲子,遵旨
315,赶紧来个曲子！,遵旨
316,来个曲子吧,遵旨
317,来个曲子吧！,遵旨
318,来个笑话！,遵旨
319,来个笑话呀,遵旨
320,来个笑话,遵旨
321,不如来个笑话,遵旨
322,笑话来一个！,遵旨
323,笑话来一个,遵旨
324,笑话来一个吧,遵旨
325,来个笑话吧,遵旨
326,笑话来一个吧！,遵旨
327,笑话来一个呀,遵旨
328,笑话来一个呀！,遵旨
329,来个笑话~,遵旨
330,来个笑话哦,遵旨
331,来个笑话哦！,遵旨
332,来个笑话哈,遵旨
333,来个笑话哈~,遵旨
334,给我拿本书,遵旨
335,给我拿本书！,遵旨
336,给我拿本书啊,遵旨
337,给我拿本书呀,遵旨
338,给我拿本书呗,遵旨
339,给我拿本书啊！,遵旨
340,给我那本书呀！,遵旨
341,给我拿本书呗！,遵旨
342,给我拿本书嘻嘻,遵旨
343,给我去拿本书,遵旨
344,给我去拿本书！,遵旨
345,给我去拿本书呀,遵旨
346,给我去拿本书啊！,遵旨
347,给我去拿本书呗,遵旨
348,给我去拿本书呗！,遵旨
349,给我去哪本书呀！,遵旨
350,帮我按按摩,遵旨
351,帮我按按摩！,遵旨
352,帮我按按摩呀,遵旨
353,帮我按按摩吧,遵旨
354,帮我按下摩,遵旨
355,帮我按下摩！,遵旨
356,快来帮我按下摩,遵旨
357,快来帮我按下摩！,遵旨
358,快来帮我按下摩呗,遵旨
359,快来帮我按下摩呗！,遵旨
360,快来帮我按下摩啊！,遵旨
361,快来帮我按下摩啊,遵旨
362,来帮我按摩呗,遵旨
363,来帮我按摩啊,遵旨
364,来帮我按摩呀,遵旨
365,来帮我按摩呀！,遵旨
366,给我个苹果,遵旨
367,给我个苹果！,遵旨
368,拿一个苹果给我！,遵旨
369,拿个苹果给我,遵旨
370,给我个香蕉,遵旨
371,拿一个香蕉给我！,遵旨
372,拿个香蕉给我,遵旨
373,拿个香蕉给我！,遵旨
374,给我个橙子,遵旨
375,拿个橙子给我,遵旨
376,给我个橙子！,遵旨
377,拿个橙子给我！,遵旨
378,给我个哈密瓜,遵旨
379,拿个哈密瓜给我！,遵旨
380,给我个哈密瓜！,遵旨
381,去拿个哈密瓜给我！,遵旨
382,去拿个哈密瓜给我,遵旨
383,拿个毯子过来,遵旨
384,拿个毯子过来啊,遵旨
385,拿个毯子过来呀,遵旨
386,去拿个毯子过来啊！,遵旨
387,快去拿个毯子过来,遵旨
388,赶紧去拿个毯子过来,遵旨
389,马上去拿个毯子过来,遵旨
390,快去拿个毯子过来！,遵旨
391,赶紧去拿个毯子过来！,遵旨
392,马上去拿个毯子过来！,遵旨
393,来表演个小丑,遵旨
394,表演一下小丑,遵旨
395,来表演个小丑！,遵旨
396,表演一下小丑！,遵旨
397,给我来表演一下小丑,遵旨
398,表演一下小丑给我看看,遵旨
399,给我表演一下小丑！,遵旨
400,表演一下小丑看一下呗,遵旨
401,来给我表演小丑看看啊,遵旨
402,来表演个小丑呗,遵旨
403,不如你来表演一下小丑,遵旨
404,给我表演一下小丑吧,遵旨
405,给我讲个笑话,遵旨
406,讲个笑话,遵旨
407,你讲个笑话,遵旨
408,说个笑话,遵旨
409,给我说个笑话,遵旨
410,你说个笑话,遵旨
411,再讲一个笑话,遵旨
412,再说一个笑话,遵旨
413,来个笑话,遵旨
414,给我讲个笑话。,遵旨
415,讲个笑话。,遵旨
416,你讲个笑话。,遵旨
417,说个笑话。,遵旨
418,给我说个笑话。,遵旨
419,你说个笑话。,遵旨
420,再讲一个笑话。,遵旨
421,再说一个笑话。,遵旨
422,来个笑话。,遵旨
423,给我讲个笑话！,遵旨
424,讲个笑话！,遵旨
425,你讲个笑话！,遵旨
426,说个笑话！,遵旨
427,给我说个笑话！,遵旨
428,你说个笑话！,遵旨
429,再讲一个笑话！,遵旨
430,再说一个笑话！,遵旨
431,来个笑话！,遵旨
432,给我唱首山歌,遵旨
433,唱首山歌,遵旨
434,唱一首山歌,遵旨
435,唱山歌,遵旨
436,快唱一首山歌,遵旨
437,唱首山歌给我听,遵旨
438,唱首山歌听听,遵旨
439,快唱山歌,遵旨
440,唱点山歌听听,遵旨
441,来首山歌,遵旨
442,来段山歌,遵旨
443,唱首山歌吧,遵旨
444,你唱山歌,遵旨
445,给我唱首山歌。,遵旨
446,唱首山歌。,遵旨
447,唱一首山歌。,遵旨
448,唱山歌。,遵旨
449,快唱一首山歌。,遵旨
450,唱首山歌给我听。,遵旨
451,唱首山歌听听。,遵旨
452,快唱山歌。,遵旨
453,唱点山歌听听。,遵旨
454,来首山歌。,遵旨
455,来段山歌。,遵旨
456,唱首山歌吧。,遵旨
457,你唱山歌。,遵旨
458,给我唱首山歌！,遵旨
459,唱首山歌！,遵旨
460,唱一首山歌！,遵旨
461,唱山歌！,遵旨
462,快唱一首山歌！,遵旨
463,唱首山歌给我听！,遵旨
464,唱首山歌听听！,遵旨
465,快唱山歌！,遵旨
466,唱点山歌听听！,遵旨
467,来首山歌！,遵旨
468,来段山歌！,遵旨
469,唱首山歌吧！,遵旨
470,你唱山歌！,遵旨
471,讲故事,遵旨
472,讲个故事,遵旨
473,你讲个故事,遵旨
474,给我讲个故事,遵旨
475,你给我讲个故事,遵旨
476,讲故事吧,遵旨
477,讲个故事吧,遵旨
478,你讲个故事吧,遵旨
479,给我讲个故事吧,遵旨
480,你给我讲个故事吧,遵旨
481,讲故事听听,遵旨
482,讲个故事听听,遵旨
483,你讲个故事听听,遵旨
484,给我讲个故事听听,遵旨
485,你给我讲个故事听听,遵旨
486,讲故事。,遵旨
487,讲个故事。,遵旨
488,你讲个故事。,遵旨
489,给我讲个故事。,遵旨
490,你给我讲个故事。,遵旨
491,讲故事吧。,遵旨
492,讲个故事吧。,遵旨
493,你讲个故事吧。,遵旨
494,给我讲个故事吧。,遵旨
495,你给我讲个故事吧。,遵旨
496,讲故事听听。,遵旨
497,讲个故事听听。,遵旨
498,你讲个故事听听。,遵旨
